Ajatempel (UTC);Kuupäev (Eesti aeg);Tarbimine;weekday;hour_local;consumption_hourly;season;is_weekend;is_holiday;EE_avg_temp_C;bias_key;bias_factor;yhat_base;yhat_consumption;viga;viga_protsent;elering_forecast;viga_vs_elering_forecast;viga_vs_elering_forecast_protsent;viga_actual_vs_elering_forecast;viga_actual_vs_elering_forecast_protsent
1758153600;18.09.2025 03:00;676.0;Thursday;0;710.4047396;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;-34.40473959999997;-5.089458520710055;676.775;33.62973959999999;4.96911670791622;-0.7749999999999773;-0.1145136862324963
1758157200;18.09.2025 04:00;678.7;Thursday;1;675.0178017;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;3.682198300000096;0.5425369529983933;692.0;-16.98219830000005;-2.454074898843938;-13.299999999999956;-1.9219653179190683
1758160800;18.09.2025 05:00;690.0;Thursday;2;659.9127948;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;30.08720519999997;4.360464521739126;710.425;-50.512205199999926;-7.1101390294541895;-20.424999999999955;-2.875039588978422
1758164400;18.09.2025 06:00;771.4;Thursday;3;658.3971129;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;113.00288709999997;14.64906495981332;779.725;-121.3278871;-15.560343338997724;-8.325000000000045;-1.0676841194010769
1758168000;18.09.2025 07:00;883.8;Thursday;4;663.7454217;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;220.0545783;24.8986850305499;882.225;-218.47957830000007;-24.764609742412656;1.5749999999999318;0.178525886253499
1758171600;18.09.2025 08:00;999.8;Thursday;5;684.5714241;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;315.2285759;31.529163422684537;959.575;-275.0035759000001;-28.658893353828528;40.22499999999991;4.191959982283814
1758175200;18.09.2025 09:00;1009.7;Thursday;6;781.2272157;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;228.4727843000001;22.627788877884523;963.675;-182.4477843;-18.93250154875866;46.02500000000009;4.775987755207938
1758178800;18.09.2025 10:00;1023.6;Thursday;7;896.2515531;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;127.3484469;12.441231623681125;979.575;-83.32344690000002;-8.506081402649109;44.02499999999998;4.494295995712425
1758182400;18.09.2025 11:00;1046.4;Thursday;8;971.7802632;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;74.61973680000006;7.131091055045876;959.9;11.88026320000006;1.2376563392020064;86.50000000000011;9.011355349515586
1758186000;18.09.2025 12:00;997.3;Thursday;9;979.6785475;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;17.62145249999992;1.7669159229920706;947.025;32.65354750000006;3.448013252026088;50.27499999999998;5.308729970169741
1758189600;18.09.2025 13:00;978.8;Thursday;10;965.9154409;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;12.884559099999931;1.3163628013894495;987.95;-22.034559100000024;-2.230331403411106;-9.150000000000093;-0.9261602307809192
1758193200;18.09.2025 14:00;888.6;Thursday;11;962.8427825;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;-74.24278249999998;-8.35502841548503;992.825;-29.982217500000047;-3.0198894568529244;-104.22500000000002;-10.497821871931109
1758196800;18.09.2025 15:00;867.5;Thursday;12;952.2768722;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;-84.77687219999996;-9.772550109510082;1000.725;-48.44812780000007;-4.841302835444309;-133.22500000000002;-13.312848185065828
1758200400;18.09.2025 16:00;842.7;Thursday;13;967.8688719;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;-125.1688719;-14.853313385546455;959.475;8.393871900000022;0.8748400844211701;-116.77499999999998;-12.170718361604
1758204000;18.09.2025 17:00;853.5;Thursday;14;955.592027;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;-102.09202700000004;-11.961573169302875;942.15;13.442027000000053;1.4267395849917797;-88.64999999999998;-9.40932972456615
1758207600;18.09.2025 18:00;886.2;Thursday;15;927.6908534;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;-41.49085339999999;-4.681883705709772;945.725;-18.034146599999985;-1.906912326521979;-59.52499999999998;-6.294112982103675
1758211200;18.09.2025 19:00;915.6;Thursday;16;897.864619;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;17.735381000000075;1.9370228265618252;920.25;-22.38538100000005;-2.432532572670476;-4.649999999999977;-0.50529747351263
1758214800;18.09.2025 20:00;906.7;Thursday;17;902.1452768;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;4.554723200000012;0.5023407080622049;915.975;-13.82972319999999;-1.5098363164933528;-9.274999999999975;-1.012582221130487
1758218400;18.09.2025 21:00;876.0;Thursday;18;888.4164723;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;-12.41647230000001;-1.4174055136986312;880.125;8.29147230000001;0.942078943331914;-4.125;-0.4686834256497657
1758222000;18.09.2025 22:00;809.1;Thursday;19;884.2223831;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;-75.12238309999998;-9.284684600173028;828.775;55.447383100000025;6.690281813519957;-19.674999999999955;-2.3739857017887798
1758225600;18.09.2025 23:00;740.1;Thursday;20;874.9005271;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;-134.80052709999995;-18.213826118092143;723.425;151.47552710000002;20.93866359332343;16.675000000000068;2.305007429934004
1758229200;19.09.2025 00:00;724.3;Thursday;21;866.6165348;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;-142.3165348;-19.648838160983026;694.7;171.9165347999999;24.746874161508547;29.59999999999991;4.260832013818901
1758232800;19.09.2025 01:00;668.0;Thursday;22;829.2756461;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;-161.27564610000002;-24.143060793413177;653.175;176.10064610000006;26.96071437210549;14.825000000000044;2.269682703716469
1758236400;19.09.2025 02:00;627.0;Thursday;23;763.7648186;sügis;False;False;14.6;workday:sügis;1.011499;20089.36;20320.38;-136.7648186;-21.81257074960128;615.475;148.2898186;24.09355678134774;11.524999999999975;1.8725374710589344
1758240000;19.09.2025 03:00;627.4;Friday;0;728.6600905;sügis;False;False;14.6;workday:sügis;1.011499;19868.68;20097.15;-101.26009050000005;-16.139638269046866;605.675;122.98509050000008;20.30545928096753;21.725000000000023;3.586907169686717
1758243600;19.09.2025 04:00;650.4;Friday;1;680.0407442;sügis;False;False;14.6;workday:sügis;1.011499;19868.68;20097.15;-29.64074419999997;-4.557309993849934;646.525;33.51574419999997;5.183982707551908;3.875;0.5993581068017478
1758247200;19.09.2025 05:00;673.9;Friday;2;664.3449023;sügis;False;False;14.6;workday:sügis;1.011499;19868.68;20097.15;9.555097700000031;1.4178806499480685;671.425;-7.08009770000001;-1.0544882451502418;2.4750000000000227;0.3686189820158652
1758250800;19.09.2025 06:00;768.0;Friday;3;665.0479196;sügis;False;False;14.6;workday:sügis;1.011499;19868.68;20097.15;102.9520804;13.405218802083333;747.75;-82.7020804;-11.060124426613172;20.25;2.7081243731193583
1758254400;19.09.2025 07:00;869.5;Friday;4;667.1533174;sügis;False;False;14.6;workday:sügis;1.011499;19868.68;20097.15;202.3466826;23.27161387004025;842.925;-175.77168259999996;-20.85258861701812;26.575000000000045;3.1527122816383484
1758258000;19.09.2025 08:00;953.8;Friday;5;685.7798118;sügis;False;False;14.6;workday:sügis;1.011499;19868.68;20097.15;268.0201882;28.100250387922;927.8;-242.0201882;-26.085383509377024;26.0;2.802328087949989
1758261600;19.09.2025 09:00;956.4;Friday;6;762.6118848;sügis;False;False;14.6;workday:sügis;1.011499;19868.68;20097.15;193.7881152;20.262245420326224;988.825;-226.2131152000001;-22.876961565494405;-32.42500000000007;-3.279144439107028
